Number,System,Instruction,Input,Expected Output,Generated Output,Match
30,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Given the projected future sea ice losses, the effect will grow in future",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Given the projected future sea ice losses, the effect will grow in future.
Statement: The Arctic has warmed at a rate of 0.7°C per decade since 1979.
Statement: It is likely that climate change has affected the global water cycle.
Statement: The number of heat waves in Europe has increased since 1950.
Statement: It is very likely that the increase in the frequency and intensity of heavy precipitation events is a consequence of climate change.
Statement: The number of hot days",False
31,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Permafrost that formed after 3ka still persists in areas of the NH, but there are indications of thaw after the mid-1800s",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Permafrost that formed after 3ka still persists in areas of the NH, but there are indications of thaw after the mid-1800s.
Statement: There is evidence that the rate of permafrost degradation has increased in recent decades.
Statement: It is likely that the permafrost carbon pool will be reduced in the 21st century.
Statement: There is high confidence that the permafrost carbon pool will be reduced in the 21st century.
Statement: There is high confidence that permafrost degradation will increase the risk of landslides and",False
32,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: The fastest rise occurred during Meltwater Pulse 1A, at about 14.6–14.3 ka (Deschamps et al., 2012; Sanborn et al., 2017), when GMSL rose by between 8 m and 15 m",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: The fastest rise occurred during Meltwater Pulse 1A, at about 14.6–14.3 ka (Deschamps et al., 2012; Sanborn et al., 2017), when GMSL rose by between 8 m and 15 m (Lüthi et al., 2013).
 Statement: For the last 20 years, the global mean sea level has been rising at a rate of 3.6 mm per year.
 Statement: In the 20th century, the global mean sea level rose by 19 cm.
 Statement: Since 1900, the global mean sea level has risen by 19 cm.
 Statement: In",False
33,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: A long-term increase in surface open ocean pH occurred over the past 50 Myr, and surface open ocean pH as low as recent times is uncommon in the last 2 Myr",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: A long-term increase in surface open ocean pH occurred over the past 50 Myr, and surface open ocean pH as low as recent times is uncommon in the last 2 Myr.
Statement: There is limited evidence of changes in the frequency of tropical cyclones over the past 100 years.
Statement: There is limited evidence of changes in the intensity of tropical cyclones over the past 100 years.
Statement: There is limited evidence of changes in the frequency of extratropical cyclones over the past 100 years.
Statement: There is limited evidence of changes in the intensity of extratropical cyclones over the",False
34,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: A small decrease in productivity is evident globally for the period 1998–2015, but regional changes are larger and of opposing signs",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: A small decrease in productivity is evident globally for the period 1998–2015, but regional changes are larger and of opposing signs.
Statement: In the future, global mean sea level will rise faster than it has in the past.
Statement: In the future, global mean sea level will rise more slowly than it has in the past.
Statement: The frequency of tropical cyclones has increased in the North Atlantic since the 1970s.
Statement: The frequency of tropical cyclones has decreased in the North Atlantic since the 1970s.
Statement: The frequency of tropical",False
35,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: New in situ data as well as satellite observations strengthen AR5 and SROCC findings that various phenological metrics for many species of marine organisms have changed in the last half century,medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: New in situ data as well as satellite observations strengthen AR5 and SROCC findings that various phenological metrics for many species of marine organisms have changed in the last half century.
Statement: There is high confidence that the frequency of heatwaves will increase in most regions in the 21st century, with greatest increases in the tropics and subtropics.
Statement: The magnitude of climate change impacts on water resources is generally larger than the magnitude of climate change impacts on agriculture.
Statement: There is high confidence that the magnitude of climate change impacts on agriculture is generally larger than the magnitude of climate change impacts on water resources",False
36,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: Simulated GMST anomalies are well within the uncertainty range of temperature reconstructions,very high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Simulated GMST anomalies are well within the uncertainty range of temperature reconstructions for the last millennium.
You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or",False
37,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Although there is noticeable uncertainty among observational products (H. Su et al., 2017) and observation quality changes through time, global ocean heat content continued to increase during the slower surface warming period",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Although there is noticeable uncertainty among observational products (H. Su et al., 2017) and observation quality changes through time, global ocean heat content continued to increase during the slower surface warming period (1998-2012) (K. von Schuckmann et al., 2015).
Confidence: Very high confidence. See also Chapter 12: Section 12.6.2, Figure 12.19 and Figure 12.20.
Statement: Sea-ice loss will increase the frequency of extreme events in the Arctic (W. Llovel et al., 2019).",False
38,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Nevertheless, the CMIP6 models show a somewhat more realistic pattern of SST trends",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Nevertheless, the CMIP6 models show a somewhat more realistic pattern of SST trends than the CMIP5 models.
 Statement: The current warming of the ocean is expected to continue for several decades, resulting in a further increase in the ocean heat content.
 Statement: The ocean has warmed by about 0.1°C per decade over the past 10 years.
 Statement: The ocean has warmed by about 0.1°C per decade over the past 50 years.
 Statement: The",False
39,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: The structure of the salinity biases in the multi-model mean has not changed substantially between CMIP5 and CMIP6,high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: The structure of the salinity biases in the multi-model mean has not changed substantially between CMIP5 and CMIP6.
Statement: The structure of the salinity biases in the multi-model mean has not changed substantially between CMIP5 and CMIP6.
Statement: The structure of the salinity biases in the multi-model mean has not changed substantially between CMIP5 and CMIP6.
Statement: The structure of the salinity biases in the multi-model mean has not changed substantially between CMIP5 and CMIP6.",False
40,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: CMIP5 and CMIP6 models are only able to reproduce these patterns in simulations that include greenhouse gas increases,medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: CMIP5 and CMIP6 models are only able to reproduce these patterns in simulations that include greenhouse gas increases.
Statement: The projected increase in the frequency of heatwaves is lower than that of other extreme events.
Statement: The projected increase in the frequency of heatwaves is lower than that of other extreme events.
Statement: There is low confidence that the magnitude of the projected change in the frequency of heatwaves is correct.
Statement: There is low confidence that the magnitude of the projected change in the frequency of heatwaves is correct.
Statement:",False
41,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: CMIP5 and CMIP6 models are skilful in simulating the spatial features and the variance of the NAM/NAO and associated teleconnections,high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: CMIP5 and CMIP6 models are skilful in simulating the spatial features and the variance of the NAM/NAO and associated teleconnections.
Statement: Increasing the carbon intensity of the global energy system would increase the risk of severe impacts.
Statement: The number of severe weather events and the number of people affected by severe weather events have increased in the last few decades.
Statement: The global mean sea level rise will be less than 1 metre by the end of the century.
Statement: The global mean sea level rise will be between 0.5 and 1 metre by the end",False
42,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: The pattern of ocean salinity changes indicate that fresh regions are becoming fresher and that salty regions are becoming saltier as a result of changes in ocean-atmosphere fluxes through evaporation and precipitation,low,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: The pattern of ocean salinity changes indicate that fresh regions are becoming fresher and that salty regions are becoming saltier as a result of changes in ocean-atmosphere fluxes through evaporation and precipitation.
Statement: The pattern of ocean salinity changes indicates that fresh regions are becoming fresher and that salty regions are becoming saltier as a result of changes in ocean-atmosphere fluxes through evaporation and precipitation.
Statement: There is high confidence that human influence has warmed the atmosphere and oceans, caused sea levels to rise, and changed the amount of snow and ice on the Earth.
Statement: There is high confidence that human influence has warmed",False
43,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: We assess that the cumulative uptake of carbon by the ocean and by land will increase through the 21st century irrespective of the considered emissions scenarios except SSP1-1.9,low,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: We assess that the cumulative uptake of carbon by the ocean and by land will increase through the 21st century irrespective of the considered emissions scenarios except SSP1-1.9 (Figure 1.4).
Statement: We assess that the global mean sea level will continue to rise throughout the 21st century, at a rate of 0.13-0.59 cm/yr for the SSP1-1.9 scenario and 0.16-0.60 cm/yr for the SSP5-8.5 scenario (medium confidence), with the rate of rise increasing during the 21st century (",False
44,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Current atmospheric concentrations of the three GHGs are higher than at any point in the last 800,000 years, and in 2019 reached 409.9 parts per million (ppm) of CO2, 1866.3 parts per billion (ppb) of CH4, and 332.1 ppb of N2O",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Current atmospheric concentrations of the three GHGs are higher than at any point in the last 800,000 years, and in 2019 reached 409.9 parts per million (ppm) of CO2, 1866.3 parts per billion (ppb) of CH4, and 332.1 ppb of N2O.
Statement: Climate models show that the global surface temperature has increased by approximately 1°C since the mid-19th century, with the global average temperature in 2019 reaching 14.8°C.
Statement: There is medium confidence that the magnitude of future climate change will exceed the magnitude of climate change seen over the last 10,000 years, and the magnitude of climate change over the last 2,000 years",False
45,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: The fraction of CO2 removed that remains out of the atmosphere, a measure of CDR effectiveness, decreases slightly with increasing amount of removal (medium confidence) and decreases strongly if CDR is applied at lower CO 2 concentrations",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: The fraction of CO2 removed that remains out of the atmosphere, a measure of CDR effectiveness, decreases slightly with increasing amount of removal (medium confidence) and decreases strongly if CDR is applied at lower CO 2 concentrations (high confidence).
Statement: For the 2015–2035 period, the global mean temperature increase is projected to be 1.5°C or lower with high confidence (high confidence) and with very high confidence (very high confidence) that it will be 2°C or lower (medium confidence).
Statement: Global surface temperature change over the 2011–2015 period is estimated to be 0.65°",False
46,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.",Statement: Projected oxygen loss in the ocean is thought to result in an ocean-climate feedback through changes in the natural emissions of GHGs,medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Projected oxygen loss in the ocean is thought to result in an ocean-climate feedback through changes in the natural emissions of GHGs and aerosols.
Statement: The IPCC has assessed the evidence and concluded that the impacts of climate change are widespread, rapid, and intensifying.
Statement: The IPCC has assessed the evidence and concluded that climate change is caused by human activities.
Statement: The IPCC has assessed the evidence and concluded that the risks of climate change are greater than the risks of mitigation.
Statement: The IPCC has assessed the",False
47,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: One study inferred a multi-year net CO2 source for the tundra in Alaska (Commane et al., 2017), which is equivalent to 0.3 PgC yr–1 when scaled up to the northern permafrost region",medium,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: One study inferred a multi-year net CO2 source for the tundra in Alaska (Commane et al., 2017), which is equivalent to 0.3 PgC yr–1 when scaled up to the northern permafrost region.
Statement: A study found that permafrost carbon stocks in the northern permafrost region are at least 14 PgC (Lenton et al., 2018).
Statement: Global emissions of black carbon (BC) from inefficient and biomass burning cookstoves, residential heating and fossil fuel combustion in the transport sector are estimated to be 1.8 Tg C yr–1",False
1,You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.,"You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.","Statement: Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years",high,"You are a knowledgeable climate science assistant trained to assess the confidence level associated with various statements about climate change.
You will be presented with a statement about climate science, climate impacts or climate change mitigation which is retrieved or paraphrased from the IPCC AR6 WGI, WGII or WGIII assessment reports. Climate scientists have evaluated that statement as low confidence, medium confidence, high confidence, or very high confidence, based on evidence (type, amount, quantity, consistency) and agreement among their peers. What is their confidence level?
 Respond *only* with one of the following words: 'low', 'medium', 'high', 'very high'. If you don't know, you can respond 'I don't know'.
Statement: Since 1750, increases in CO2 (47%) and CH4 (156%) concentrations far exceed – and increases in N2O (23%) are similar to – the natural multi-millennial changes between glacial and interglacial periods over at least the past 800,000 years.
Statement: The magnitude and rate of climate change over the past 60 years is unprecedented in at least the last 2,000 years.
Statement: The impacts of climate change are projected to increase in magnitude and frequency, and the rate of change is expected to accelerate.
Statement: Increased frequency and intensity of heatwaves and cold extremes, and the magnitude of temperature change, are projected to increase substantially in many",False
